Days from today ,date ,collab_sw_dev ms_1,collab_sw_dev ms_2,col_sw_dev ms_3,col_sw_dev ms_4,col_sw_dev toy_pack,col_sw_dev peer_review,stat_inf-2 lab_1,stat_inf-2 lab_2,stat_inf-2 lab_3,stat_inf-2 lab_4,stat_inf-2 quiz_1,stat_inf-2 quiz_2,unsup_learn lab_1,unsup_learn lab_2,unsup_learn lab_3,unsup_learn lab_4,unsup_learn quiz_1,unsup_learn quiz_2,spat_temp_ lab_1,spat_temp lab_2,spat_temp lab_3,spat_temp 574 lab_4,spat_temp quiz_1,spat_temp quiz_2
-78,"Sunday, February 23, 2020",To do,,,,To do,,To do,,,,,,To do,,,,,,To do,,,,,
-77,"Monday, February 24, 2020",In progress,,,,To do,,To do,,,,,,In progress,,,,,,To do,,,,,
-76,"Tuesday, February 25, 2020",In progress,,,,To do,,To do,,,,,,Done,,,,,,In progress,,,,,
-75,"Wednesday, February 26, 2020",In progress,,,,In progress,,In progress,,,,,,Done,,,,,,In progress,,,,,
-74,"Thursday, February 27, 2020",In progress,,,,Done,,In progress,,,,,,Done,,,,,,In progress,,,,,
-73,"Friday, February 28, 2020",In progress,,,,Done,,In progress,,,,,,Done,,,,,,Done,,,,,
-72,"Saturday, February 29, 2020",Done,,,,Done,,Done,,,,,,Done,,,,,,Done,,,,,
-71,"Sunday, March 1, 2020",,To do,,,,,,To do,,,,,,To do,,,,,,To do,,,,
-70,"Monday, March 2, 2020",,In progress,,,,,,To do,,,,,,In progress,,,,,,To do,,,,
-69,"Tuesday, March 3, 2020",,In progress,,,,,,To do,,,,,,In progress,,,,,,To do,,,,
-68,"Wednesday, March 4, 2020",,In progress,,,,,,In progress,,,,,,In progress,,,,,,To do,,,,
-67,"Thursday, March 5, 2020",,In progress,,,,,,In progress,,,,,,In progress,,,,,,In progress,,,,
-66,"Friday, March 6, 2020",,In progress,,,,,,Done,,,,,,In progress,,,,,,In progress,,,,
-65,"Saturday, March 7, 2020",,Done,,,,,,Done,,,,,,Done,,,,,,Done,,,,
-64,"Sunday, March 8, 2020",,,To do,,,,,,To do,,To do,,,,To do,,To do,,,,To do,,To do,
-63,"Monday, March 9, 2020",,,In progress,,,,,,To do,,To do,,,,To do,,Done,,,,To do,,To do,
-62,"Tuesday, March 10, 2020",,,In progress,,,,,,To do,,To do,,,,In progress,,Done,,,,To do,,Done,
-61,"Wednesday, March 11, 2020",,,In progress,,,,,,In progress,,To do,,,,In progress,,Done,,,,To do,,Done,
-60,"Thursday, March 12, 2020",,,In progress,,,,,,Done,,Done,,,,In progress,,Done,,,,In progress,,Done,
-59,"Friday, March 13, 2020",,,In progress,,,,,,Done,,Done,,,,Done,,Done,,,,Done,,Done,
-58,"Saturday, March 14, 2020",,,Done,,,,,,Done,,Done,,,,Done,,Done,,,,Done,,Done,
-57,"Sunday, March 15, 2020",,,,,,To do,,,,To do,,,,,,To do,,,,,,To do,,
-56,"Monday, March 16, 2020",,,,,,Done,,,,To do,,,,,,To do,,,,,,To do,,
-55,"Tuesday, March 17, 2020",,,,,,Done,,,,To do,,,,,,In progress,,,,,,To do,,
-54,"Wednesday, March 18, 2020",,,,,,Done,,,,In progress,,,,,,Done,,,,,,To do,,
-53,"Thursday, March 19, 2020",,,,,,Done,,,,Done,,,,,,Done,,,,,,Done,,
-52,"Friday, March 20, 2020",,,,,,Done,,,,Done,,,,,,Done,,,,,,Done,,
-51,"Saturday, March 21, 2020",,,,,,Done,,,,Done,,,,,,Done,,,,,,Done,,
-50,"Sunday, March 22, 2020",,,,To do,,,,,,,,To do,,,,,,To do,,,,,,To do
-49,"Monday, March 23, 2020",,,,To do,,,,,,,,To do,,,,,,To do,,,,,,To do
-48,"Tuesday, March 24, 2020",,,,To do,,,,,,,,Done,,,,,,Done,,,,,,To do
-47,"Wednesday, March 25, 2020",,,,In progress,,,,,,,,Done,,,,,,Done,,,,,,Done
-46,"Thursday, March 26, 2020",,,,Done,,,,,,,,Done,,,,,,Done,,,,,,Done